E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
42,2019-11-14 04:13:25.812953,20191114T180000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812956,20191114T180000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812959,20191114T180000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.813021,20191114T190000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.813027,20191114T190000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.813031,20191114T190000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.813033,20191114T190000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.813096,20191114T200000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.813102,20191114T200000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.813106,20191114T200000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.813108,20191114T200000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
